# -- By Esa ---------------------------------------------------------------------
#classid;str;con;dex;int;men;wit
0;19;58;10;-19;28;-36
1;19;58;10;-19;28;-36
2;19;58;10;-19;28;-36
3;19;58;10;-19;28;-36
4;19;58;10;-19;28;-36
5;19;58;10;-19;28;-36
6;19;58;10;-19;28;-36
7;19;58;10;-19;28;-36
8;19;58;10;-19;28;-36
9;19;58;10;-19;28;-36
10;-10;24;1;21;48;0
11;-10;24;1;21;48;0
12;-10;24;1;21;48;0
13;-10;24;1;21;48;0
14;-10;24;1;21;48;0
15;-10;24;1;21;48;0
16;-10;24;1;21;48;0
17;-10;24;1;21;48;0
18;13;42;15;-15;30;-25
19;13;42;15;-15;30;-25
20;13;42;15;-15;30;-25
21;13;42;15;-15;30;-25
22;13;42;15;-15;30;-25
23;13;42;15;-15;30;-25
24;13;42;15;-15;30;-25
25;-11;20;4;12;49;16
26;-11;20;4;12;49;16
27;-11;20;4;12;49;16
28;-11;20;4;12;49;16
29;-11;20;4;12;49;16
30;-11;20;4;12;49;16
31;22;34;14;-12;30;-32
32;22;34;14;-12;30;-32
33;22;34;14;-12;30;-32
34;22;34;14;-12;30;-32
35;22;34;14;-12;30;-32
36;22;34;14;-12;30;-32
37;22;34;14;-12;30;-32
38;-8;19;3;28;45;-5
39;-8;19;3;28;45;-5
40;-8;19;3;28;45;-5
41;-8;19;3;28;45;-5
42;-8;19;3;28;45;-5
43;-8;19;3;28;45;-5
44;20;67;6;-23;31;-32
45;20;67;6;-23;31;-32
46;20;67;6;-23;31;-32
47;20;67;6;-23;31;-32
48;20;67;6;-23;31;-32
49;-2;32;4;-1;52;-22
50;-2;32;4;-1;52;-22
51;-2;32;4;-1;52;-22
52;-2;32;4;-1;52;-22
53;18;62;9;-20;31;-39
54;18;62;9;-20;31;-39
55;18;62;9;-20;31;-39
56;18;62;9;-20;31;-39
57;18;62;9;-20;31;-39
58;18;62;9;-20;31;-39
