# -- By Esa ---------------------------------------------------------------------
#classid;defaulthp;defaulthpadd;defaulthpbonus;defaultmp;defaultmp;defaultmpbonus
#职业ID;基本HP;增加HP;奖励HP;基本MP;增加MP;奖励MP;基本ACC;增加ACC;奖励ACC;基本闪避;增加闪避;奖励闪避
#精灵战士以及晋升职业
18;113.6;16.7986;0.1846;39.0;7.098;0.078;36;2.2;0.200;36;2;0.060
19;113.6;21.7986;0.1846;39.0;10.098;0.078;36;2.5;0.200;36;3;0.060
20;113.6;23.7986;0.1846;39.0;12.098;0.078;36;3;0.200;36;3;0.060
21;113.6;23.7986;0.1846;39.0;12.098;0.078;36;3;0.200;36;3;0.060
22;113.6;21.7986;0.1846;39.0;10.098;0.078;36;2.5;0.200;36;3;0.060
23;113.6;25.7986;0.1846;39.0;13.098;0.078;36;3;0.200;36;3;0.060
24;113.6;25.7986;0.1846;39.0;13.098;0.078;36;3;0.200;36;3;0.060
#精灵法师以及晋升职业
25;96.0;14.196;0.156;59.6;10.8472;0.1192;30;1.6;0.200;30;2;0.050
26;96.0;17.196;0.156;59.6;20.8472;0.1192;30;2;0.200;30;3;0.050
27;96.0;20.196;0.156;59.6;22.8472;0.1192;30;2.5;0.200;30;3;0.050
28;96.0;20.196;0.156;59.6;22.8472;0.1192;30;2.5;0.200;30;3;0.050
29;96.0;20.196;0.156;59.6;15.8472;0.1192;30;2;0.200;30;3;0.050
30;96.0;22.196;0.156;59.6;19.8472;0.1192;30;2.5;0.200;30;3;0.050
#人类战士以及晋升职业
0;126.4;18.6914;0.2054;38.4;6.9888;0.0768;33;2;0.200;33;2;0.05
1;156.4;28.6914;0.2054;38.4;9.9888;0.0768;33;3;0.200;33;3;0.05
2;166.4;28.6914;0.2054;38.4;9.9888;0.0768;33;3;0.200;33;3;0.05
3;176.4;28.6914;0.2054;38.4;9.9888;0.0768;33;3;0.200;33;3;0.05
4;206.4;38.6914;0.2054;38.4;15.9888;0.0768;33;5;0.200;33;5;0.05
5;206.4;38.6914;0.2054;38.4;15.9888;0.0768;33;5;0.200;33;5;0.05
6;206.4;38.6914;0.2054;38.4;15.9888;0.0768;33;5;0.200;33;5;0.05
7;206.4;38.6914;0.2054;38.4;15.9888;0.0768;33;5;0.200;33;5;0.05
8;206.4;38.6914;0.2054;38.4;15.9888;0.0768;33;5;0.200;33;5;0.05
9;206.4;38.6914;0.2054;38.4;15.9888;0.0768;33;6;0.200;33;6;0.05
#人类法师以及晋升职业
10;99.2;14.6692;0.1612;59.2;10.7744;0.1184;28;1.5;0.200;28;2;0.040
11;99.2;24.6692;0.1612;59.2;25.7744;0.1184;28;2;0.200;28;3;0.040
12;99.2;24.6692;0.1612;59.2;25.7744;0.1184;28;2;0.200;28;3;0.040
13;99.2;24.6692;0.1612;59.2;25.7744;0.1184;28;2;0.200;28;3;0.040
14;99.2;24.6692;0.1612;59.2;25.7744;0.1184;28;2;0.200;28;3;0.040
15;99.2;25.6692;0.1612;59.2;30.7744;0.1184;28;2;0.200;28;3;0.040
16;99.2;25.6692;0.1612;59.2;30.7744;0.1184;28;2;0.200;28;3;0.040
17;99.2;25.6692;0.1612;59.2;30.7744;0.1184;28;2;0.200;28;3;0.040
#黑暗战士以及晋升职业
31;107.2;15.8522;0.1742;39.0;7.098;0.078;35;2;0.200;35;2;0.050
32;107.2;20.8522;0.1742;39.0;9.098;0.078;35;3;0.200;35;3;0.050
33;107.2;25.8522;0.1742;39.0;11.098;0.078;35;4;0.200;35;4;0.050
34;107.2;25.8522;0.1742;39.0;11.098;0.078;35;4;0.200;35;4;0.050
35;107.2;21.8522;0.1742;39.0;8.098;0.078;35;3;0.200;35;3;0.050
36;107.2;27.8522;0.1742;39.0;10.098;0.078;35;4;0.200;35;4;0.050
37;107.2;27.8522;0.1742;39.0;10.098;0.078;35;4;0.200;35;4;0.050
