#id;name;level;sp;level
3;Power Strike;1;60;5
3;Power Strike;2;60;5
3;Power Strike;3;60;5
3;Power Strike;4;310;10
3;Power Strike;5;310;10
3;Power Strike;6;310;10
3;Power Strike;7;1100;15
3;Power Strike;8;1100;15
3;Power Strike;9;1100;15
16;Mortal Blow;1;60;5
16;Mortal Blow;2;60;5
16;Mortal Blow;3;60;5
16;Mortal Blow;4;310;10
16;Mortal Blow;5;310;10
16;Mortal Blow;6;310;10
16;Mortal Blow;7;1100;15
16;Mortal Blow;8;1100;15
16;Mortal Blow;9;1100;15
56;Power Shot;1;60;5
56;Power Shot;2;60;5
56;Power Shot;3;60;5
56;Power Shot;4;310;10
56;Power Shot;5;310;10
56;Power Shot;6;310;10
56;Power Shot;7;1100;15
56;Power Shot;8;1100;15
56;Power Shot;9;1100;15
70;Drain Energy;1;1700;15
70;Drain Energy;2;1700;15
77;Attack Aura;1;920;10
91;Defence Aura;1;160;5
141;Weapon Mastery;1;160;5
141;Weapon Mastery;2;920;10
141;Weapon Mastery;3;3300;15
142;Armor Mastery;1;160;5
142;Armor Mastery;2;460;10
142;Armor Mastery;3;460;10
142;Armor Mastery;4;1700;15
142;Armor Mastery;5;1700;15
194;Lucky;1;0;1
