146;Anti Magic;13;14000;40
146;Anti Magic;14;14000;40
146;Anti Magic;15;14000;40
213;Boost Mana;3;41000;40
239;Expertise C;2;0;40
228;Fast Spell Casting;2;41000;40
285;Higher Mana Gain;9;21000;40
285;Higher Mana Gain;10;21000;40
234;Robe Mastery;9;14000;40
234;Robe Mastery;10;14000;40
234;Robe Mastery;11;14000;40
249;Weapon Mastery;10;14000;40
249;Weapon Mastery;11;14000;40
249;Weapon Mastery;12;14000;40
1157;Body To Mind;2;41000;40
1151;Corpse Life Drain;3;41000;40
1222;Curse Chaos;2;41000;40
1239;Hurricane;1;21000;40
1239;Hurricane;2;21000;40
1064;Silence;1;41000;40
1069;Sleep;10;14000;40
1069;Sleep;11;14000;40
1069;Sleep;12;14000;40
1234;Vampiric Claw;1;21000;40
1234;Vampiric Claw;2;21000;40
146;Anti Magic;16;17000;44
146;Anti Magic;17;17000;44
146;Anti Magic;18;17000;44
212;Fast HP Recovery;2;50000;44
229;Fast Mana Recovery;3;50000;44
285;Higher Mana Gain;11;25000;44
285;Higher Mana Gain;12;25000;44
234;Robe Mastery;12;17000;44
234;Robe Mastery;13;17000;44
234;Robe Mastery;14;17000;44
249;Weapon Mastery;13;17000;44
249;Weapon Mastery;14;17000;44
249;Weapon Mastery;15;17000;44
1151;Corpse Life Drain;4;50000;44
1222;Curse Chaos;3;50000;44
1168;Curse:Poison;4;50000;44
1148;Death Spike;1;50000;44
1239;Hurricane;3;25000;44
1239;Hurricane;4;25000;44
1064;Silence;2;50000;44
1069;Sleep;13;17000;44
1069;Sleep;14;17000;44
1069;Sleep;15;17000;44
1234;Vampiric Claw;3;25000;44
1234;Vampiric Claw;4;25000;44
146;Anti Magic;19;29000;48
146;Anti Magic;20;29000;48
146;Anti Magic;21;29000;48
213;Boost Mana;4;85000;48
285;Higher Mana Gain;13;43000;48
285;Higher Mana Gain;14;43000;48
164;Quick Recovery;3;85000;48
234;Robe Mastery;15;29000;48
234;Robe Mastery;16;29000;48
234;Robe Mastery;17;29000;48
249;Weapon Mastery;16;29000;48
249;Weapon Mastery;17;29000;48
249;Weapon Mastery;18;29000;48
1151;Corpse Life Drain;5;85000;48
1148;Death Spike;2;85000;48
1239;Hurricane;5;43000;48
1239;Hurricane;6;43000;48
1167;Poisonous Cloud;3;85000;48
1064;Silence;3;85000;48
1069;Sleep;16;29000;48
1069;Sleep;17;29000;48
1069;Sleep;18;29000;48
1176;Tempest;1;43000;48
1176;Tempest;2;43000;48
1234;Vampiric Claw;5;43000;48
1234;Vampiric Claw;6;43000;48
146;Anti Magic;22;49000;52
146;Anti Magic;23;49000;52
146;Anti Magic;24;49000;52
239;Expertise B;3;0;52
212;Fast HP Recovery;3;150000;52
229;Fast Mana Recovery;4;150000;52
285;Higher Mana Gain;15;73000;52
285;Higher Mana Gain;16;73000;52
234;Robe Mastery;18;49000;52
234;Robe Mastery;19;49000;52
234;Robe Mastery;20;49000;52
249;Weapon Mastery;19;49000;52
249;Weapon Mastery;20;49000;52
249;Weapon Mastery;21;49000;52
1157;Body To Mind;3;150000;52
1151;Corpse Life Drain;6;150000;52
1159;Curse Death Link;1;73000;52
1159;Curse Death Link;2;73000;52
1168;Curse:Poison;5;150000;52
1148;Death Spike;3;150000;52
1239;Hurricane;7;73000;52
1239;Hurricane;8;73000;52
1069;Sleep;19;49000;52
1069;Sleep;20;49000;52
1069;Sleep;21;49000;52
1176;Tempest;3;73000;52
1176;Tempest;4;73000;52
1234;Vampiric Claw;7;73000;52
1234;Vampiric Claw;8;73000;52
146;Anti Magic;25;88000;56
146;Anti Magic;26;88000;56
146;Anti Magic;27;88000;56
213;Boost Mana;5;300000;56
228;Fast Spell Casting;3;300000;56
285;Higher Mana Gain;17;130000;56
285;Higher Mana Gain;18;130000;56
234;Robe Mastery;21;88000;56
234;Robe Mastery;22;88000;56
234;Robe Mastery;23;88000;56
249;Weapon Mastery;22;88000;56
249;Weapon Mastery;23;88000;56
249;Weapon Mastery;24;88000;56
1151;Corpse Life Drain;7;300000;56
1159;Curse Death Link;3;130000;56
1159;Curse Death Link;4;130000;56
1148;Death Spike;4;300000;56
1239;Hurricane;9;130000;56
1239;Hurricane;10;130000;56
1167;Poisonous Cloud;4;300000;56
1069;Sleep;22;88000;56
1069;Sleep;23;88000;56
1069;Sleep;24;88000;56
1176;Tempest;5;130000;56
1176;Tempest;6;130000;56
1234;Vampiric Claw;9;130000;56
1234;Vampiric Claw;10;130000;56
