#id;name;level;sp;level
239;Expertise C;2;0;40
239;Expertise B;3;0;52
147;Magic Resistance;15;19000;40
147;Magic Resistance;16;19000;40
147;Magic Resistance;17;19000;40
147;Magic Resistance;18;22000;43
147;Magic Resistance;19;22000;43
147;Magic Resistance;20;22000;43
147;Magic Resistance;21;33000;46
147;Magic Resistance;22;33000;46
147;Magic Resistance;23;33000;46
147;Magic Resistance;24;42000;49
147;Magic Resistance;25;42000;49
147;Magic Resistance;26;42000;49
147;Magic Resistance;27;83000;52
147;Magic Resistance;28;83000;52
147;Magic Resistance;29;83000;52
147;Magic Resistance;30;110000;55
147;Magic Resistance;31;110000;55
147;Magic Resistance;32;110000;55
147;Magic Resistance;33;160000;58
147;Magic Resistance;34;160000;58
147;Magic Resistance;35;160000;58
217;Sword Blunt Mastery;9;19000;40
217;Sword Blunt Mastery;10;19000;40
217;Sword Blunt Mastery;11;19000;40
217;Sword Blunt Mastery;12;22000;43
217;Sword Blunt Mastery;13;22000;43
217;Sword Blunt Mastery;14;22000;43
217;Sword Blunt Mastery;15;33000;46
217;Sword Blunt Mastery;16;33000;46
217;Sword Blunt Mastery;17;33000;46
217;Sword Blunt Mastery;18;42000;49
217;Sword Blunt Mastery;19;42000;49
217;Sword Blunt Mastery;20;42000;49
217;Sword Blunt Mastery;21;83000;52
217;Sword Blunt Mastery;22;83000;52
217;Sword Blunt Mastery;23;83000;52
217;Sword Blunt Mastery;24;110000;55
217;Sword Blunt Mastery;25;110000;55
217;Sword Blunt Mastery;26;110000;55
217;Sword Blunt Mastery;27;160000;58
217;Sword Blunt Mastery;28;160000;58
217;Sword Blunt Mastery;29;160000;58
15;Charm;16;19000;40
15;Charm;17;19000;40
15;Charm;18;19000;40
15;Charm;19;22000;43
15;Charm;20;22000;43
15;Charm;21;22000;43
15;Charm;22;33000;46
15;Charm;23;33000;46
15;Charm;24;33000;46
15;Charm;25;42000;49
15;Charm;26;42000;49
15;Charm;27;42000;49
15;Charm;28;83000;52
15;Charm;29;83000;52
15;Charm;30;83000;52
15;Charm;31;110000;55
15;Charm;32;110000;55
15;Charm;33;110000;55
15;Charm;34;160000;58
15;Charm;35;160000;58
15;Charm;36;160000;58
58;Elemental Heal;19;19000;40
58;Elemental Heal;20;19000;40
58;Elemental Heal;21;19000;40
58;Elemental Heal;22;22000;43
58;Elemental Heal;23;22000;43
58;Elemental Heal;24;22000;43
58;Elemental Heal;25;33000;46
58;Elemental Heal;26;33000;46
58;Elemental Heal;27;33000;46
58;Elemental Heal;28;42000;49
58;Elemental Heal;29;42000;49
58;Elemental Heal;30;42000;49
58;Elemental Heal;31;83000;52
58;Elemental Heal;32;83000;52
58;Elemental Heal;33;83000;52
58;Elemental Heal;34;110000;55
58;Elemental Heal;35;110000;55
58;Elemental Heal;36;110000;55
58;Elemental Heal;37;160000;58
58;Elemental Heal;38;160000;58
58;Elemental Heal;39;160000;58
21;Poison Recovery;2;57000;40
191;Focus Mind;2;65000;43
191;Focus Mind;3;120000;49
191;Focus Mind;4;350000;55
61;Cure Bleeding;2;100000;46
102;Entangle;2;120000;49
102;Entangle;3;330000;58
230;Sprint;2;250000;52
112;Deflect Arrow;3;65000;43
112;Deflect Arrow;4;120000;49
196;Holy Blade;1;65000;43
123;Spirit Barrier;1;57000;40
123;Spirit Barrier;2;120000;49
123;Spirit Barrier;3;330000;58
267;Song of Warding;1;57000;40
270;Song of Invocation;1;65000;43
268;Song of Wind;1;100000;46
269;Song of Hunter;1;120000;49
265;Song of Life;1;250000;52
264;Song of Earth;1;350000;55
266;Song of Water;1;470000;58
98;Sword Symphony;1;350000;55


