#id;name;level;sp;level
239;Expertise C;2;0;40
239;Expertise B;3;0;52
232;Heavy Armor Mastery;16;11000;40
232;Heavy Armor Mastery;17;11000;40
232;Heavy Armor Mastery;18;11000;40
232;Heavy Armor Mastery;19;14000;43
232;Heavy Armor Mastery;20;14000;43
232;Heavy Armor Mastery;21;14000;43
232;Heavy Armor Mastery;22;18000;46
232;Heavy Armor Mastery;23;18000;46
232;Heavy Armor Mastery;24;18000;46
232;Heavy Armor Mastery;25;28000;49
232;Heavy Armor Mastery;26;28000;49
232;Heavy Armor Mastery;27;28000;49
232;Heavy Armor Mastery;28;50000;52
232;Heavy Armor Mastery;29;50000;52
232;Heavy Armor Mastery;30;50000;52
232;Heavy Armor Mastery;31;80000;55
232;Heavy Armor Mastery;32;80000;55
232;Heavy Armor Mastery;33;80000;55
232;Heavy Armor Mastery;34;110000;58
232;Heavy Armor Mastery;35;110000;58
232;Heavy Armor Mastery;36;110000;58
147;Magic Resistance;15;11000;40
147;Magic Resistance;16;11000;40
147;Magic Resistance;17;11000;40
147;Magic Resistance;18;14000;43
147;Magic Resistance;19;14000;43
147;Magic Resistance;20;14000;43
147;Magic Resistance;21;18000;46
147;Magic Resistance;22;18000;46
147;Magic Resistance;23;18000;46
147;Magic Resistance;24;28000;49
147;Magic Resistance;25;28000;49
147;Magic Resistance;26;28000;49
147;Magic Resistance;27;50000;52
147;Magic Resistance;28;50000;52
147;Magic Resistance;29;50000;52
147;Magic Resistance;30;80000;55
147;Magic Resistance;31;80000;55
147;Magic Resistance;32;80000;55
147;Magic Resistance;33;110000;58
147;Magic Resistance;34;110000;58
147;Magic Resistance;35;110000;58
217;Sword Blunt Mastery;9;11000;40
217;Sword Blunt Mastery;10;11000;40
217;Sword Blunt Mastery;11;11000;40
217;Sword Blunt Mastery;12;14000;43
217;Sword Blunt Mastery;13;14000;43
217;Sword Blunt Mastery;14;14000;43
217;Sword Blunt Mastery;15;18000;46
217;Sword Blunt Mastery;16;18000;46
217;Sword Blunt Mastery;17;18000;46
217;Sword Blunt Mastery;18;28000;49
217;Sword Blunt Mastery;19;28000;49
217;Sword Blunt Mastery;20;28000;49
217;Sword Blunt Mastery;21;50000;52
217;Sword Blunt Mastery;22;50000;52
217;Sword Blunt Mastery;23;50000;52
217;Sword Blunt Mastery;24;80000;55
217;Sword Blunt Mastery;25;80000;55
217;Sword Blunt Mastery;26;80000;55
217;Sword Blunt Mastery;27;110000;58
217;Sword Blunt Mastery;28;110000;58
217;Sword Blunt Mastery;29;110000;58
15;Charm;16;11000;40
15;Charm;17;11000;40
15;Charm;18;11000;40
15;Charm;19;14000;43
15;Charm;20;14000;43
15;Charm;21;14000;43
15;Charm;22;18000;46
15;Charm;23;18000;46
15;Charm;24;18000;46
15;Charm;25;28000;49
15;Charm;26;28000;49
15;Charm;27;28000;49
15;Charm;28;50000;52
15;Charm;29;50000;52
15;Charm;30;50000;52
15;Charm;31;80000;55
15;Charm;32;80000;55
15;Charm;33;80000;55
15;Charm;34;110000;58
15;Charm;35;110000;58
15;Charm;36;110000;58
58;Elemental Heal;19;11000;40
58;Elemental Heal;20;11000;40
58;Elemental Heal;21;11000;40
58;Elemental Heal;22;14000;43
58;Elemental Heal;23;14000;43
58;Elemental Heal;24;14000;43
