#id;name;level;sp;level
144;Dual Weapon Mastery;1;12000;40
144;Dual Weapon Mastery;2;12000;40
144;Dual Weapon Mastery;3;12000;40
144;Dual Weapon Mastery;4;14000;43
144;Dual Weapon Mastery;5;14000;43
144;Dual Weapon Mastery;6;14000;43
144;Dual Weapon Mastery;7;17000;46
144;Dual Weapon Mastery;8;17000;46
144;Dual Weapon Mastery;9;17000;46
144;Dual Weapon Mastery;10;28000;49
144;Dual Weapon Mastery;11;28000;49
144;Dual Weapon Mastery;12;28000;49
144;Dual Weapon Mastery;13;38000;52
144;Dual Weapon Mastery;14;38000;52
144;Dual Weapon Mastery;15;38000;52
144;Dual Weapon Mastery;16;62000;55
144;Dual Weapon Mastery;17;62000;55
144;Dual Weapon Mastery;18;62000;55
144;Dual Weapon Mastery;19;79000;58
144;Dual Weapon Mastery;20;79000;58
144;Dual Weapon Mastery;21;79000;58
212;Fast HP Recovery;3;37000;40
231;Heavy Armor Mastery;14;12000;40
231;Heavy Armor Mastery;15;12000;40
231;Heavy Armor Mastery;16;12000;40
231;Heavy Armor Mastery;17;14000;43
231;Heavy Armor Mastery;18;14000;43
231;Heavy Armor Mastery;19;14000;43
231;Heavy Armor Mastery;20;17000;46
231;Heavy Armor Mastery;21;17000;46
231;Heavy Armor Mastery;22;17000;46
231;Heavy Armor Mastery;23;28000;49
231;Heavy Armor Mastery;24;28000;49
231;Heavy Armor Mastery;25;28000;49
231;Heavy Armor Mastery;26;38000;52
231;Heavy Armor Mastery;27;38000;52
231;Heavy Armor Mastery;28;38000;52
231;Heavy Armor Mastery;29;62000;55
231;Heavy Armor Mastery;30;62000;55
231;Heavy Armor Mastery;31;62000;55
231;Heavy Armor Mastery;32;79000;58
231;Heavy Armor Mastery;33;79000;58
231;Heavy Armor Mastery;34;79000;58
227;Light Armor Mastery;14;12000;40
227;Light Armor Mastery;15;12000;40
227;Light Armor Mastery;16;12000;40
227;Light Armor Mastery;17;14000;43
227;Light Armor Mastery;18;14000;43
227;Light Armor Mastery;19;14000;43
227;Light Armor Mastery;20;17000;46
227;Light Armor Mastery;21;17000;46
227;Light Armor Mastery;22;17000;46
227;Light Armor Mastery;23;28000;49
227;Light Armor Mastery;24;28000;49
