#id;name;level;sp;level
28;Hate;1;3300;24
28;Hate;2;3300;24
28;Hate;3;3300;24
28;Hate;4;5000;28
28;Hate;5;5000;28
28;Hate;6;5000;28
28;Hate;7;8300;32
28;Hate;8;8300;32
28;Hate;9;8300;32
28;Hate;10;13000;36
28;Hate;11;13000;36
28;Hate;12;13000;36
45;Devine Heal;1;5000;28
45;Devine Heal;2;5000;28
45;Devine Heal;3;5000;28
45;Devine Heal;4;8300;32
45;Devine Heal;5;8300;32
45;Devine Heal;6;8300;32
45;Devine Heal;7;13000;36
45;Devine Heal;8;13000;36
45;Devine Heal;9;13000;36
70;Drain Energy;1;2300;20
70;Drain Energy;2;2300;20
70;Drain Energy;3;5000;24
70;Drain Energy;4;5000;24
70;Drain Energy;5;5000;28
70;Drain Energy;6;5000;28
70;Drain Energy;7;5000;28
70;Drain Energy;8;8300;32
70;Drain Energy;9;8300;32
70;Drain Energy;10;8300;32
70;Drain Energy;11;13000;36
70;Drain Energy;12;13000;36
70;Drain Energy;13;13000;36
82;Majesty;1;4700;20
92;Shield Stun;1;1500;20
92;Shield Stun;2;1500;20
92;Shield Stun;3;1500;20
92;Shield Stun;4;3300;24
92;Shield Stun;5;3300;24
92;Shield Stun;6;3300;24
92;Shield Stun;7;5000;28
92;Shield Stun;8;5000;28
92;Shield Stun;9;5000;28
92;Shield Stun;10;8300;32
92;Shield Stun;11;8300;32
92;Shield Stun;12;8300;32
92;Shield Stun;13;13000;36
92;Shield Stun;14;13000;36
92;Shield Stun;15;13000;36
110;Ultimate Defence;1;4700;20
112;Deflect Arrow;1;10000;24
112;Deflect Arrow;2;25000;32
147;Magic Resistance;1;2300;20
147;Magic Resistance;2;2300;20
147;Magic Resistance;3;3300;24
147;Magic Resistance;4;3300;24
147;Magic Resistance;5;3300;24
147;Magic Resistance;6;5000;28
147;Magic Resistance;7;5000;28
147;Magic Resistance;8;5000;28
147;Magic Resistance;9;8300;32
147;Magic Resistance;10;8300;32
147;Magic Resistance;11;8300;32
147;Magic Resistance;12;13000;36
147;Magic Resistance;13;13000;36
147;Magic Resistance;14;13000;36
153;Shield Mastery;1;4700;20
153;Shield Mastery;2;15000;28
191;Focus Mind;1;39000;36
217;Sword Blunt Mastery;1;4700;20
217;Sword Blunt Mastery;2;10000;24
217;Sword Blunt Mastery;3;7500;28
217;Sword Blunt Mastery;4;7500;28
217;Sword Blunt Mastery;5;12500;32
217;Sword Blunt Mastery;6;12500;32
217;Sword Blunt Mastery;7;19500;36
217;Sword Blunt Mastery;8;19500;36
232;Heavy Armor Mastery;1;1500;20
232;Heavy Armor Mastery;2;1500;20
232;Heavy Armor Mastery;3;1500;20
232;Heavy Armor Mastery;4;3300;24
232;Heavy Armor Mastery;5;3300;24
232;Heavy Armor Mastery;6;3300;24
232;Heavy Armor Mastery;7;5000;28
232;Heavy Armor Mastery;8;5000;28
232;Heavy Armor Mastery;9;5000;28
232;Heavy Armor Mastery;10;8300;32
232;Heavy Armor Mastery;11;8300;32
232;Heavy Armor Mastery;12;8300;32
232;Heavy Armor Mastery;13;13000;36
232;Heavy Armor Mastery;14;13000;36
232;Heavy Armor Mastery;15;13000;36
