239;Expertise C;2;0;40
232;Heavy Armor Mastery;16;12000;40
232;Heavy Armor Mastery;17;12000;40
232;Heavy Armor Mastery;18;12000;40
197;Holy Armor;1;37000;40
147;Magic Resistance;15;12000;40
147;Magic Resistance;16;12000;40
147;Magic Resistance;17;12000;40
153;Shield Mastery;3;37000;40
217;Sword Blunt Mastery;9;12000;40
217;Sword Blunt Mastery;10;12000;40
217;Sword Blunt Mastery;11;12000;40
28;Hate;13;12000;40
28;Hate;14;12000;40
28;Hate;15;12000;40
18;Hate Aura;1;12000;40
18;Hate Aura;2;12000;40
18;Hate Aura;3;12000;40
262;Holy Blessing;1;12000;40
262;Holy Blessing;2;12000;40
262;Holy Blessing;3;12000;40
82;Majesty;2;37000;40
44;Remedy;1;37000;40
92;Shield Stun;16;12000;40
92;Shield Stun;17;12000;40
92;Shield Stun;18;12000;40
191;Focus Mind;2;41000;43
232;Heavy Armor Mastery;19;14000;43
232;Heavy Armor Mastery;20;14000;43
232;Heavy Armor Mastery;21;14000;43
196;Holy Blade;1;41000;43
147;Magic Resistance;18;14000;43
147;Magic Resistance;19;14000;43
147;Magic Resistance;20;14000;43
217;Sword Blunt Mastery;12;14000;43
217;Sword Blunt Mastery;13;14000;43
217;Sword Blunt Mastery;14;14000;43
112;Deflect Arrow;3;41000;43
28;Hate;16;14000;43
28;Hate;17;14000;43
28;Hate;18;14000;43
18;Hate Aura;4;14000;43
18;Hate Aura;5;14000;43
18;Hate Aura;6;14000;43
262;Holy Blessing;4;14000;43
262;Holy Blessing;5;14000;43
262;Holy Blessing;6;14000;43
72;Iron Will;1;41000;43
92;Shield Stun;19;14000;43
92;Shield Stun;20;14000;43
92;Shield Stun;21;14000;43
232;Heavy Armor Mastery;22;20000;46
232;Heavy Armor Mastery;23;20000;46
232;Heavy Armor Mastery;24;20000;46
197;Holy Armor;2;60000;46
147;Magic Resistance;21;20000;46
147;Magic Resistance;22;20000;46
147;Magic Resistance;23;20000;46
217;Sword Blunt Mastery;15;20000;46
217;Sword Blunt Mastery;16;20000;46
217;Sword Blunt Mastery;17;20000;46
28;Hate;19;20000;46
28;Hate;20;20000;46
28;Hate;21;20000;46
18;Hate Aura;7;20000;46
18;Hate Aura;8;20000;46
18;Hate Aura;9;20000;46
262;Holy Blessing;7;20000;46
262;Holy Blessing;8;20000;46
262;Holy Blessing;9;20000;46
49;Holy Strike;1;30000;46
49;Holy Strike;2;30000;46
92;Shield Stun;22;20000;46
92;Shield Stun;23;20000;46
92;Shield Stun;24;20000;46
110;Ultimate Defence;2;60000;46
191;Focus Mind;3;83000;49
232;Heavy Armor Mastery;25;28000;49
232;Heavy Armor Mastery;26;28000;49
232;Heavy Armor Mastery;27;28000;49
147;Magic Resistance;24;28000;49
147;Magic Resistance;25;28000;49
147;Magic Resistance;26;28000;49
217;Sword Blunt Mastery;18;28000;49
217;Sword Blunt Mastery;19;28000;49
217;Sword Blunt Mastery;20;28000;49
112;Deflect Arrow;4;83000;49
28;Hate;22;28000;49
28;Hate;23;28000;49
28;Hate;24;28000;49
18;Hate Aura;10;28000;49
18;Hate Aura;11;28000;49
18;Hate Aura;12;28000;49
262;Holy Blessing;10;28000;49
262;Holy Blessing;11;28000;49
262;Holy Blessing;12;28000;49
49;Holy Strike;3;42000;49
49;Holy Strike;4;42000;49
72;Iron Will;2;83000;49
44;Remedy;2;83000;49
92;Shield Stun;25;28000;49
92;Shield Stun;26;28000;49
92;Shield Stun;27;28000;49
239;Expertise B;3;0;52
232;Heavy Armor Mastery;28;45000;52
232;Heavy Armor Mastery;29;45000;52
232;Heavy Armor Mastery;30;45000;52
147;Magic Resistance;27;45000;52
147;Magic Resistance;28;45000;52
147;Magic Resistance;29;45000;52
153;Shield Mastery;4;140000;52
217;Sword Blunt Mastery;21;45000;52
217;Sword Blunt Mastery;22;45000;52
217;Sword Blunt Mastery;23;45000;52
28;Hate;25;45000;52
28;Hate;26;45000;52
28;Hate;27;45000;52
18;Hate Aura;13;45000;52
18;Hate Aura;14;45000;52
18;Hate Aura;15;45000;52
262;Holy Blessing;13;45000;52
262;Holy Blessing;14;45000;52
262;Holy Blessing;15;45000;52
49;Holy Strike;5;68000;52
49;Holy Strike;6;68000;52
69;Sacrifice;1;45000;52
69;Sacrifice;2;45000;52
69;Sacrifice;3;45000;52
97;Sanctuary;1;140000;52
92;Shield Stun;28;45000;52
92;Shield Stun;29;45000;52
92;Shield Stun;30;45000;52
191;Focus Mind;4;210000;55
232;Heavy Armor Mastery;31;73000;55
232;Heavy Armor Mastery;32;73000;55
232;Heavy Armor Mastery;33;73000;55
147;Magic Resistance;30;73000;55
147;Magic Resistance;31;73000;55
147;Magic Resistance;32;73000;55
217;Sword Blunt Mastery;24;73000;55
217;Sword Blunt Mastery;25;73000;55
217;Sword Blunt Mastery;26;73000;55
28;Hate;28;73000;55
28;Hate;29;73000;55
28;Hate;30;73000;55
18;Hate Aura;16;73000;55
18;Hate Aura;17;73000;55
18;Hate Aura;18;73000;55
262;Holy Blessing;16;73000;55
262;Holy Blessing;17;73000;55
262;Holy Blessing;18;73000;55
49;Holy Strike;7;110000;55
49;Holy Strike;8;110000;55
72;Iron Will;3;210000;55
69;Sacrifice;4;73000;55
69;Sacrifice;5;73000;55
69;Sacrifice;6;73000;55
92;Shield Stun;31;73000;55
92;Shield Stun;32;73000;55
92;Shield Stun;33;73000;55
232;Heavy Armor Mastery;34;100000;58
232;Heavy Armor Mastery;35;100000;58
232;Heavy Armor Mastery;36;100000;58
147;Magic Resistance;33;100000;58
147;Magic Resistance;34;100000;58
147;Magic Resistance;35;100000;58
217;Sword Blunt Mastery;27;100000;58
217;Sword Blunt Mastery;28;100000;58
217;Sword Blunt Mastery;29;100000;58
28;Hate;31;100000;58
28;Hate;32;100000;58
28;Hate;33;100000;58
18;Hate Aura;19;100000;58
18;Hate Aura;20;100000;58
18;Hate Aura;21;100000;58
262;Holy Blessing;19;100000;58
262;Holy Blessing;20;100000;58
262;Holy Blessing;21;100000;58
49;Holy Strike;9;150000;58
49;Holy Strike;10;150000;58
82;Majesty;3;300000;58
69;Sacrifice;7;100000;58
69;Sacrifice;8;100000;58
69;Sacrifice;9;100000;58
97;Sanctuary;2;300000;58
92;Shield Stun;34;100000;58
92;Shield Stun;35;100000;58
92;Shield Stun;36;100000;58
