#id;name;level;sp;level
239;Expertise D;1;0;20
210;Fist Mastery;1;6200;20
233;Light Armor Mastery;1;3100;20
233;Light Armor Mastery;2;3100;20
95;Cripple;1;6200;20
29;Iron Punch;10;2000;20
29;Iron Punch;11;2000;20
29;Iron Punch;12;2000;20
120;Stunning Fist;1;2000;20
120;Stunning Fist;2;2000;20
120;Stunning Fist;3;2000;20
83;Totem Spirit Wolf;1;6200;20
210;Fist Mastery;2;12000;24
233;Light Armor Mastery;3;6000;24
233;Light Armor Mastery;4;6000;24
50;Focus Force;1;12000;24
54;Force Blaster;1;4000;24
54;Force Blaster;2;4000;24
54;Force Blaster;3;4000;24
29;Iron Punch;13;4000;24
29;Iron Punch;14;4000;24
29;Iron Punch;15;4000;24
120;Stunning Fist;4;4000;24
120;Stunning Fist;5;4000;24
120;Stunning Fist;6;4000;24
210;Fist Mastery;3;10000;28
210;Fist Mastery;4;10000;28
233;Light Armor Mastery;5;10000;28
233;Light Armor Mastery;6;10000;28
54;Force Blaster;4;6700;28
54;Force Blaster;5;6700;28
54;Force Blaster;6;6700;28
29;Iron Punch;16;6700;28
29;Iron Punch;17;6700;28
29;Iron Punch;18;6700;28
120;Stunning Fist;7;6700;28
120;Stunning Fist;8;6700;28
120;Stunning Fist;9;6700;28
76;Totem Spirit Bear;1;20000;28
210;Fist Mastery;5;17000;32
210;Fist Mastery;6;17000;32
233;Light Armor Mastery;7;17000;32
233;Light Armor Mastery;8;17000;32
50;Focus Force;2;33000;32
54;Force Blaster;7;11000;32
54;Force Blaster;8;11000;32
54;Force Blaster;9;11000;32
29;Iron Punch;19;11000;32
29;Iron Punch;20;11000;32
29;Iron Punch;21;11000;32
120;Stunning Fist;10;11000;32
120;Stunning Fist;11;11000;32
120;Stunning Fist;12;11000;32
168;Boost Attack Speed;3;44000;36
210;Fist Mastery;7;22000;36
210;Fist Mastery;8;22000;36
233;Light Armor Mastery;9;22000;36
233;Light Armor Mastery;10;22000;36
54;Force Blaster;10;15000;36
54;Force Blaster;11;15000;36
54;Force Blaster;12;15000;36
29;Iron Punch;22;15000;36
29;Iron Punch;23;15000;36
29;Iron Punch;24;15000;36
120;Stunning Fist;13;15000;36
120;Stunning Fist;14;15000;36
120;Stunning Fist;15;15000;36
284;Hurricane Assault;1;15000;36
284;Hurricane Assault;2;15000;36
284;Hurricane Assault;3;15000;36



