#id;name;level;sp;level
239;Expertise D;1;0;20
211;Boost HP;1;4100;20
231;Heavy Armor Mastery;1;2100;20
231;Heavy Armor Mastery;2;2100;20
227;Light Armor Mastery;1;2100;20
227;Light Armor Mastery;2;2100;20
216;Polearm Mastery;1;4100;20
217;Sword Blunt Mastery;1;4100;20
34;Bandage;1;4100;20
255;Power Smash;1;1400;20
255;Power Smash;2;1400;20
255;Power Smash;3;1400;20
100;Stun Attack;1;1400;20
100;Stun Attack;2;1400;20
100;Stun Attack;3;1400;20
245;Wild Sweep;1;1400;20
245;Wild Sweep;2;1400;20
245;Wild Sweep;3;1400;20
256;Accuracy;1;6400;24
212;Fast HP Recovery;1;6400;24
231;Heavy Armor Mastery;3;3200;24
231;Heavy Armor Mastery;4;3200;24
227;Light Armor Mastery;3;3200;24
227;Light Armor Mastery;4;3200;24
216;Polearm Mastery;2;6400;24
217;Sword Blunt Mastery;2;6400;24
148;Vital Force;1;6400;24
255;Power Smash;4;2100;24
255;Power Smash;5;2100;24
255;Power Smash;6;2100;24
100;Stun Attack;4;2100;24
100;Stun Attack;5;2100;24
100;Stun Attack;6;2100;24
245;Wild Sweep;4;2100;24
245;Wild Sweep;5;2100;24
245;Wild Sweep;6;2100;24
211;Boost HP;2;13000;28
231;Heavy Armor Mastery;5;4500;28
231;Heavy Armor Mastery;6;4500;28
231;Heavy Armor Mastery;7;4500;28
227;Light Armor Mastery;5;4500;28
227;Light Armor Mastery;6;4500;28
227;Light Armor Mastery;7;4500;28
216;Polearm Mastery;3;6700;28
216;Polearm Mastery;4;6700;28
217;Sword Blunt Mastery;3;6700;28
217;Sword Blunt Mastery;4;6700;28
121;Battle Roar;1;13000;28
255;Power Smash;7;4500;28
255;Power Smash;8;4500;28
255;Power Smash;9;4500;28
100;Stun Attack;7;4500;28
100;Stun Attack;8;4500;28
100;Stun Attack;9;4500;28
245;Wild Sweep;7;4500;28
245;Wild Sweep;8;4500;28
245;Wild Sweep;9;4500;28
212;Fast HP Recovery;2;20000;32
231;Heavy Armor Mastery;8;6700;32
231;Heavy Armor Mastery;9;6700;32
231;Heavy Armor Mastery;10;6700;32
227;Light Armor Mastery;8;6700;32
227;Light Armor Mastery;9;6700;32
227;Light Armor Mastery;10;6700;32
216;Polearm Mastery;5;10000;32
216;Polearm Mastery;6;10000;32
217;Sword Blunt Mastery;5;10000;32
217;Sword Blunt Mastery;6;10000;32
148;Vital Force;2;20000;32
176;Frenzy;1;20000;32
255;Power Smash;10;6700;32
255;Power Smash;11;6700;32
255;Power Smash;12;6700;32
100;Stun Attack;10;6700;32
100;Stun Attack;11;6700;32
100;Stun Attack;12;6700;32
245;Wild Sweep;10;6700;32
245;Wild Sweep;11;6700;32
245;Wild Sweep;12;6700;32
211;Boost HP;3;35000;36
231;Heavy Armor Mastery;11;11000;36
231;Heavy Armor Mastery;12;11000;36
231;Heavy Armor Mastery;13;11000;36
227;Light Armor Mastery;11;11000;36
227;Light Armor Mastery;12;11000;36
227;Light Armor Mastery;13;11000;36
216;Polearm Mastery;7;17000;36
216;Polearm Mastery;8;17000;36
217;Sword Blunt Mastery;7;17000;36
217;Sword Blunt Mastery;8;17000;36
139;Guts;1;35000;36
255;Power Smash;13;11000;36
255;Power Smash;14;11000;36
255;Power Smash;15;11000;36
100;Stun Attack;13;11000;36
100;Stun Attack;14;11000;36
100;Stun Attack;15;11000;36
245;Wild Sweep;13;11000;36
245;Wild Sweep;14;11000;36
245;Wild Sweep;15;11000;36
