146;Anti Magic;13;11000;40
146;Anti Magic;14;11000;40
146;Anti Magic;15;11000;40
211;Boost HP;1;31000;40
213;Boost Mana;3;31000;40
239;Expertise C;2;0;40
228;Fast Spell Casting;2;31000;40
253;Heavy Armor Mastery;11;11000;40
253;Heavy Armor Mastery;12;11000;40
253;Heavy Armor Mastery;13;11000;40
252;Light Armor Mastery;13;11000;40
252;Light Armor Mastery;14;11000;40
252;Light Armor Mastery;15;11000;40
251;Robe Mastery;13;11000;40
251;Robe Mastery;14;11000;40
251;Robe Mastery;15;11000;40
1001;Soul Cry;5;31000;40
250;Weapon Mastery;10;11000;40
250;Weapon Mastery;11;11000;40
250;Weapon Mastery;12;11000;40
1252;Chant of Evasion;1;31000;40
1006;Chant of Fire;2;31000;40
1229;Chant of Life;5;31000;40
1009;Chant of Shielding;3;31000;40
1244;Freezing Flame;1;31000;40
260;Hammer Crush;1;11000;40
260;Hammer Crush;2;11000;40
260;Hammer Crush;3;11000;40
1245;Steal Essence;1;31000;40
1095;Venom;4;31000;40
146;Anti Magic;16;15000;44
146;Anti Magic;17;15000;44
146;Anti Magic;18;15000;44
211;Boost HP;2;43000;44
212;Fast HP Recovery;2;43000;44
229;Fast Mana Recovery;3;43000;44
253;Heavy Armor Mastery;14;15000;44
253;Heavy Armor Mastery;15;15000;44
253;Heavy Armor Mastery;16;15000;44
252;Light Armor Mastery;16;15000;44
252;Light Armor Mastery;17;15000;44
252;Light Armor Mastery;18;15000;44
251;Robe Mastery;16;15000;44
251;Robe Mastery;17;15000;44
251;Robe Mastery;18;15000;44
250;Weapon Mastery;13;15000;44
250;Weapon Mastery;14;15000;44
250;Weapon Mastery;15;15000;44
1102;Aura Sink;3;43000;44
1007;Chant of Battle;3;43000;44
1002;Chant of Flame;2;43000;44
1229;Chant of Life;6;43000;44
1253;Chant of Rage;1;43000;44
1097;Dreaming Spirit;3;43000;44
260;Hammer Crush;4;15000;44
260;Hammer Crush;5;15000;44
260;Hammer Crush;6;15000;44
1245;Steal Essence;2;43000;44
146;Anti Magic;19;25000;48
146;Anti Magic;20;25000;48
146;Anti Magic;21;25000;48
211;Boost HP;3;75000;48
213;Boost Mana;4;75000;48
253;Heavy Armor Mastery;17;25000;48
253;Heavy Armor Mastery;18;25000;48
253;Heavy Armor Mastery;19;25000;48
252;Light Armor Mastery;19;25000;48
252;Light Armor Mastery;20;25000;48
252;Light Armor Mastery;21;25000;48
164;Quick Recovery;3;75000;48
251;Robe Mastery;19;25000;48
251;Robe Mastery;20;25000;48
251;Robe Mastery;21;25000;48
1001;Soul Cry;6;75000;48
250;Weapon Mastery;16;25000;48
250;Weapon Mastery;17;25000;48
250;Weapon Mastery;18;25000;48
1252;Chant of Evasion;2;75000;48
1251;Chant of Fury;1;75000;48
1229;Chant of Life;7;75000;48
1022;Fear;3;75000;48
260;Hammer Crush;7;25000;48
260;Hammer Crush;8;25000;48
260;Hammer Crush;9;25000;48
1105;Madness;3;75000;48
1245;Steal Essence;3;75000;48
146;Anti Magic;22;46000;52
146;Anti Magic;23;46000;52
146;Anti Magic;24;46000;52
211;Boost HP;4;130000;52
239;Expertise B;3;0;52
212;Fast HP Recovery;3;130000;52
229;Fast Mana Recovery;4;130000;52
253;Heavy Armor Mastery;20;46000;52
253;Heavy Armor Mastery;21;46000;52
253;Heavy Armor Mastery;22;46000;52
252;Light Armor Mastery;22;46000;52
252;Light Armor Mastery;23;46000;52
252;Light Armor Mastery;24;46000;52
251;Robe Mastery;22;46000;52
251;Robe Mastery;23;46000;52
251;Robe Mastery;24;46000;52
250;Weapon Mastery;19;46000;52
250;Weapon Mastery;20;46000;52
250;Weapon Mastery;21;46000;52
1102;Aura Sink;4;130000;52
1006;Chant of Fire;3;130000;52
1229;Chant of Life;8;130000;52
1253;Chant of Rage;2;130000;52
1244;Freezing Flame;2;130000;52
260;Hammer Crush;10;46000;52
260;Hammer Crush;11;46000;52
260;Hammer Crush;12;46000;52
1003;Power of Paagrio;2;130000;52
1245;Steal Essence;4;130000;52
1095;Venom;5;130000;52
146;Anti Magic;25;77000;56
146;Anti Magic;26;77000;56
146;Anti Magic;27;77000;56
211;Boost HP;5;240000;56
213;Boost Mana;5;240000;56
228;Fast Spell Casting;3;240000;56
253;Heavy Armor Mastery;23;77000;56
253;Heavy Armor Mastery;24;77000;56
253;Heavy Armor Mastery;25;77000;56
252;Light Armor Mastery;25;77000;56
252;Light Armor Mastery;26;77000;56
252;Light Armor Mastery;27;77000;56
251;Robe Mastery;25;77000;56
251;Robe Mastery;26;77000;56
251;Robe Mastery;27;77000;56
1001;Soul Cry;7;240000;56
250;Weapon Mastery;22;77000;56
250;Weapon Mastery;23;77000;56
250;Weapon Mastery;24;77000;56
1252;Chant of Evasion;3;240000;56
1002;Chant of Flame;3;240000;56
1251;Chant of Fury;2;240000;56
1229;Chant of Life;9;240000;56
1253;Chant of Rage;3;240000;56
260;Hammer Crush;13;77000;56
260;Hammer Crush;14;77000;56
260;Hammer Crush;15;77000;56
1245;Steal Essence;5;240000;56
1005;Blessing of Paagrio;2;240000;58
1003;Power of Paagrio;3;240000;58
